destination_actual_icao,braking_coefficient
VOMM,0.014452767
VIDP,0.025775285
VOBL,-0.065380004
VOCL,0.028658436
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
VOGO,
VABB,0.103647893
VIDP,0.100644989
VISR,-0.032303677
VECC,0.036981734
VIDP,0.064283707
VOHS,0.039238423
VOBL,0.088995253
VABB,0.009725285
OMRK,
VABB,0.023721641
VOBL,0.117976039
VIJU,-0.03300947
VAPO,
VABB,0.01113322
VIDP,0.028042267
VEBD,-0.028075361
OMDB,-0.00070965
VABB,0.049974078
VIDP,0.087110521
VEPT,0.026905348
VIDP,0.03434612
VECC,0.003634096
VAAH,
VABB,-0.020999615
VIDN,0.048624017
VEBD,0.056277182
VECC,-0.024139279
VOBL,0.016806935
VIDP,0.06036016
VEGT,0.058032932
VECC,
VIJU,0.056571965
OMDB,
VIDP,-0.023924846
VEDG,0.008798351
VIAR,0.061333215
VECC,0.085106364
VAPO,0.020064241
VOGO,0.048914634
VIDP,0.078808853
VEBD,0.034003584
VILH,0.020888183
VOMM,-0.022150998
VGHS,0.048672694
VABB,0.033235008
VOGO,0.063475233
VISR,0.005837725
VOBL,
VABB,0.069070825
VABB,0.046051653
VIDP,-0.01272016
VOMM,0.009648605
VECC,0.032739703
VIBN,
VIJP,0.054840304
VOMM,0.01928287
VAAH,0.119661484
VEBD,0.096322615
VOMM,0.030083424
VECC,0.031209194
VOMM,0.050268505
VAAH,0.042273951
